Food code,Main food description,WWEIA Category number,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars_ total(g)",Fiber_ total dietary (g),Total Fat (g),Fatty acids_ total saturated (g),Fatty acids_ total monounsaturated (g),Fatty acids_ total polyunsaturated (g),Cholesterol (mg),Retinol (mcg),Vitamin A_ RAE (mcg_RAE),Carotene_ alpha (mcg),Carotene_ beta (mcg),Cryptoxanthin_ beta (mcg),Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),Folate_ food (mcg),Folate_ DFE (mcg_DFE),Folate_ total (mcg),Choline_ total (mg),Vitamin B-12 (mcg),"Vitamin B-12_ added(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E_ added(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron(mg)","Zinc(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0(g)","6:0(g)","8:0(g)","10:0(g)","12:0(g)","14:0(g)","16:0(g)","10(g)","16:1(g)","18:1(g)","20:1(g)","22:1(g)","18:2(g)","18:3(g)","18:4(g)","20:4(g)","20:5 n-3(g)","22:5 n-3(g)","22:6 n-3(g)","Water(g)"
11000000,Milk_ human,9602,Human milk,70,1.03,6.89,6.89,0,4.38,2.009,1.658,0.497,14,60,61,0,7,0,0,0,0.014,0.036,0.177,0.011,0,5,5,5,16,0.05,0,5,0.1,0.08,0,0.3,32,14,3,0.03,0.17,0.052,1.8,51,17,0,0,0,0,0,0,0.063,0.256,0.321,0.919,0.293,0.129,1.475,0.04,0,0.374,0.052,0,0.026,0,0,0,87.5
11100000,Milk_ NFS,1004,Milk_ reduced fat,51,3.34,4.87,4.89,0,1.99,1.164,0.426,0.065,8,58,59,0,4,0,0,0,0.057,0.137,0.11,0.06,0,1,1,1,17.9,0.56,0,0.1,1.1,0.03,0,0.2,126,103,12,0,0.42,0.001,1.9,157,39,0,0,0,0.043,0.033,0.022,0.052,0.06,0.19,0.537,0.194,0.03,0.433,0.002,0,0.069,0.007,0,0.003,0,0.001,0,89.04
11111000,Milk_ whole,1002,Milk_ whole,60,3.28,4.67,4.81,0,3.2,1.86,0.688,0.108,12,31,32,0,7,0,0,0,0.056,0.138,0.105,0.061,0,0,0,0,17.8,0.54,0,0,1.1,0.05,0,0.3,123,101,12,0,0.41,0.001,1.9,150,38,0,0,0,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.047,0.694,0.004,0,0.115,0.012,0,0.004,0.001,0.002,0,88.1
11111100,Milk_ low sodium_ whole,1002,Milk_ whole,61,3.1,4.46,4.46,0,3.46,2.154,0.999,0.128,14,28,29,0,7,0,0,0,0.02,0.105,0.043,0.034,0,5,5,5,16,0.36,0,0.9,1.3,0.08,0,0.3,101,86,5,0.05,0.38,0.01,2,253,3,0,0,0,0.112,0.066,0.039,0.087,0.097,0.348,0.91,0.419,0.077,0.87,0,0,0.078,0.05,0,0,0,0,0,88.2
11111150,Milk_ calcium fortified_ whole,1002,Milk_ whole,60,3.28,4.67,4.81,0,3.2,1.86,0.688,0.108,12,31,32,0,7,0,0,0,0.056,0.138,0.105,0.061,0,0,0,0,17.8,0.54,0,0,1.1,0.05,0,0.3,123,101,12,0,0.41,0.001,1.9,150,38,0,0,0,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.047,0.694,0.004,0,0.115,0.012,0,0.004,0.001,0.002,0,88.1
11111160,Milk_ calcium fortified_ low fat (1%),1006,Milk_ lowfat,43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,58,0,1,0,0,0,0.057,0.14,0.113,0.06,0,2,2,2,17.4,0.61,0,0,1.1,0.02,0,0.1,126,103,12,0,0.43,0.001,2.1,159,39,0,0,0,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.014,0.214,0.001,0,0.033,0.004,0,0.001,0,0,0,89.7
11111170,Milk_ calcium fortified_ fat free (skim),1008,Milk_ nonfat,35,3.4,4.85,4.85,0,0.18,0.117,0.047,0.007,2,137,137,0,0,0,0,0,0.036,0.14,0.088,0.04,0,5,5,5,16,0.38,0,1,1.2,0.01,0,0,204,101,11,0.04,0.4,0.011,2.1,166,52,0,0,0,0.009,0.001,0.002,0.004,0.003,0.017,0.053,0.019,0.007,0.038,0,0,0.005,0.002,0,0,0,0,0,90.8
11112110,Milk_ reduced fat (2%),1004,Milk_ reduced fat,50,3.35,4.91,4.89,0,1.9,1.11,0.4,0.058,8,83,83,0,3,0,0,0,0.059,0.137,0.112,0.061,0,2,2,2,18.2,0.55,0,0.2,1.1,0.03,0,0.2,126,103,12,0,0.43,0.001,1.8,159,39,0,0,0,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.029,0.41,0.002,0,0.061,0.007,0,0.003,0,0.001,0,89.1
11112120,Milk_ acidophilus_ low fat (1%),1006,Milk_ lowfat,43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,58,0,1,0,0,0,0.057,0.14,0.113,0.06,0,2,2,2,17.4,0.61,0,0,1.1,0.02,0,0.1,126,103,12,0,0.43,0.001,2.1,159,39,0,0,0,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.014,0.214,0.001,0,0.033,0.004,0,0.001,0,0,0,89.7
11112130,Milk_ acidophilus_ reduced fat (2%),1004,Milk_ reduced fat,50,3.35,4.91,4.89,0,1.9,1.11,0.4,0.058,8,83,83,0,3,0,0,0,0.059,0.137,0.112,0.061,0,2,2,2,18.2,0.55,0,0.2,1.1,0.03,0,0.2,126,103,12,0,0.43,0.001,1.8,159,39,0,0,0,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.029,0.41,0.002,0,0.061,0.007,0,0.003,0,0.001,0,89.1
11112210,Milk_ low fat (1%),1006,Milk_ lowfat,43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,58,0,1,0,0,0,0.057,0.14,0.113,0.06,0,2,2,2,17.4,0.61,0,0,1.1,0.02,0,0.1,126,103,12,0,0.43,0.001,2.1,159,39,0,0,0,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.014,0.214,0.001,0,0.033,0.004,0,0.001,0,0,0,89.7
11113000,Milk_ fat free (skim),1008,Milk_ nonfat,34,3.43,4.89,5.05,0,0.08,0.049,0.017,0.006,3,64,64,0,2,0,0,0,0.056,0.131,0.118,0.058,0,2,2,2,18.2,0.58,0,0,1.1,0,0,0,132,107,12,0,0.45,0.002,2,167,41,0,0,0,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009,0.001,0.018,0,0,0.005,0,0,0,0,0,0,90.8
11114300,Milk_ lactose free_ low fat (1%),1006,Milk_ lowfat,43,3.38,5.19,4.96,0,0.95,0.568,0.21,0.032,5,58,58,0,1,0,0,0,0.057,0.14,0.113,0.06,0,2,2,2,17.4,0.61,0,0,1.1,0.02,0,0.1,126,103,12,0,0.43,0.001,2.1,159,39,0,0,0,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.014,0.214,0.001,0,0.033,0.004,0,0.001,0,0,0,89.7
11114320,Milk_ lactose free_ fat free (skim),1008,Milk_ nonfat,34,3.43,4.89,5.05,0,0.08,0.049,0.017,0.006,3,64,64,0,2,0,0,0,0.056,0.131,0.118,0.058,0,2,2,2,18.2,0.58,0,0,1.1,0,0,0,132,107,12,0,0.45,0.002,2,167,41,0,0,0,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009,0.001,0.018,0,0,0.005,0,0,0,0,0,0,90.8
11114330,Milk_ lactose free_ reduced fat (2%),1004,Milk_ reduced fat,50,3.35,4.91,4.89,0,1.9,1.11,0.4,0.058,8,83,83,0,3,0,0,0,0.059,0.137,0.112,0.061,0,2,2,2,18.2,0.55,0,0.2,1.1,0.03,0,0.2,126,103,12,0,0.43,0.001,1.8,159,39,0,0,0,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.029,0.41,0.002,0,0.061,0.007,0,0.003,0,0.001,0,89.1
11114350,Milk_ lactose free_ whole,1002,Milk_ whole,60,3.28,4.67,4.81,0,3.2,1.86,0.688,0.108,12,31,32,0,7,0,0,0,0.056,0.138,0.105,0.061,0,0,0,0,17.8,0.54,0,0,1.1,0.05,0,0.3,123,101,12,0,0.41,0.001,1.9,150,38,0,0,0,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.047,0.694,0.004,0,0.115,0.012,0,0.004,0.001,0.002,0,88.1
11115000,Buttermilk_ fat free (skim),1008,Milk_ nonfat,40,3.31,4.79,4.79,0,1.07,0.66,0.254,0.033,4,13,14,0,1,0,0,0,0.034,0.154,0.058,0.034,0,5,5,5,17.7,0.22,0,1,0,0.05,0,0.1,116,89,11,0.05,0.42,0.011,2,151,148,0,0,0,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.02,0.221,0,0,0.02,0.013,0,0,0,0,0,90.13
11115100,Buttermilk_ low fat (1%),1006,Milk_ lowfat,40,3.31,4.79,4.79,0,1.07,0.66,0.254,0.033,4,13,14,0,1,0,0,0,0.034,0.154,0.058,0.034,0,5,5,5,17.7,0.22,0,1,0,0.05,0,0.1,116,89,11,0.05,0.42,0.011,2,151,148,0,0,0,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.02,0.221,0,0,0.02,0.013,0,0,0,0,0,90.13
